6,,,,,,,,,,3,,,,,,,6,,,,,,,6,,
,,7,8,,,6,,,,,1,5,,4,,,9,8,,,,,3,2,,
,1,,,,7,,2,,4,,,9,,,,,3,,,1,9,,,,,
,,5,1,,,,,,,,,,,5,,,,,,,8,,,,5,
,,,5,,,9,,,2,,,8,,6,,,,,,7,6,,,,,9
,,,,,,,,2,,,,,,,,,,,,9,,1,,,,
,,,3,,,1,,,,,,4,,,3,9,,,,2,,,7,,,
,,,,,,5,,,3,,,,,,,,5,,,,1,,,,,
,,6,,5,,,,9,,,9,,,7,,1,,5,,,,,,,8,
,,,3,,8,6,,,,,5,,,,8,,,,2,,,,,,,
,,5,,,,,,3,,,,6,2,,,,,4,,,,,,1,,
,,,7,,,1,,,,,,,1,5,,2,,,,,,,8,,3,
6,4,,,,,,,,,,1,,,,3,,,2,6,,4,,9,,,
,,,,,,,,,,,9,7,,,,,,,,,,,6,,,
5,,1,4,8,,,,,,,,,,,,,9,,,,,3,,,9,
,,,,,,,1,,,,,,6,,4,,,,,4,2,,,7,,
7,,,,,,,,,,,,,,,,,,,,,8,,,,,3
,,6,,,,5,,,7,2,,1,8,,,,,,,,,,1,,,5
,,,,,,,4,,2,,,,,9,,,8,,,2,,,,9,4,
,,,,,,8,,3,,,,3,,,,,,,,,,,1,,,
,3,,,,8,5,,,,,4,,,,,,1,5,8,,,,,,,7
,,,,6,3,,,,,,,,2,,,,,,,6,,,,,,
,,,,,,,,5,,,,,,,,,4,2,,,,,,,,
,,,,,2,,6,,,,,6,3,,5,,,,,,,,8,4,,
,,6,,,,,,,,,5,,,,4,,,,,4,,,9,3,,
,,3,,,,6,,,9,,,,,,,,,,,,4,,,,,8
,5,7,,4,,1,,,,,,1,,,6,,,,3,,,7,,,,
